category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Sal de mar para cocina de 1 kg,MARINA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41458531_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Postres y repostería,Helado Sabor Chocolate Con Stevia 50 g,UNIVERSAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41402033_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,Aceite de Oliva Extra Virgen 2 L,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42187245_01/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Curry en Polvo 56.7 g,BADIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40537385_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Ketchup 380 g,TOTTUS,https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/42887741-bsC_UMJm-medium.jpg,true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Lentejas bebé de 1 kg,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42276924_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Alimentos y bebidas - Despensa,Granola Bites Cinammon Roll Sumkha Envase x 100 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43442662_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Vinagreta Finas Hierbas 200 mL,EL OLIVAR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10389129_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Vegetales congelados,Corazón Alcachofas En Salmuera Frasco x 410 g,OLIVOS DEL SUR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43442634_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,CREMA DE AVELLANAS FERRERO X 220GR,NUTELLA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42305026_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Cobertura Bitter Negusa x 600 g,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40330218_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Pastas y salsas,Fideo Tornillo 250 g - Bolsa 250 gr,PRECIO UNO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41660786_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",MAIZENA PURA FECULA DE MAIZ CAJA X 100G,DURYEA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/Tottus/defaultImage/w=500,h=500,format=jpg",false
