Categoría,Subcategoría,Nombre,Marca,Imagen (URL),Precio,Enlace,Tipo de Empaque
Despensa,Sin subcategoría,Keke de Plátano Rectangular,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41529738_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 8.90,https://tottus.falabella.com.pe/tottus-pe/product/115776622/keke-de-platano-rectangular-tottus-hpa/115776625?exp=tottus,Rígido
Despensa,Pastas,Spaghetti 950 g,DON VITTORIO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42722378_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 7,https://tottus.falabella.com.pe/tottus-pe/product/115807056/pasta-trigo-don-vittorio-spaghetti-bolsa-x-950g/115807059?exp=tottus,Flexible
Despensa,Bolsa 250 gr,Fideo Tornillo 250 g - Bolsa 250 gr,PRECIO UNO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41660786_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 1.30,https://tottus.falabella.com.pe/tottus-pe/product/118084561/precio-uno-tornillo-41660786/115848861?exp=tottus,Flexible
Despensa,Condimentos,Salsa Tare 300 g,ADELMI,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41953384_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 7.70,https://tottus.falabella.com.pe/tottus-pe/product/113714482/salsa-tare-adelmi-x-330-gr/113714483?exp=tottus,Flexible
Despensa,Sin subcategoría,Fugde Heladero DoyPack x 200 g,BAZO VELARDE,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40320354_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 3.90,https://tottus.falabella.com.pe/tottus-pe/product/123557782/fugde-heladero-doy-pack-200gr/123557783?exp=tottus,Flexible
Despensa,Especias,Laurel Entero 7 g,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559396_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 2.50,https://tottus.falabella.com.pe/tottus-pe/product/113929037/tottus-laurel-x-7g/113929038?exp=tottus,Flexible
Despensa,Sin subcategoría,Choclo Dulce Desgranado Lata 425 g,OLIVOS DEL SUR,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43282797_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 8.90,https://tottus.falabella.com.pe/tottus-pe/product/129569087/choclo-dulce-desgranado-425gr/129569092?exp=tottus,Flexible
Despensa,Empaque 36 g,SALSA BLANCA EN POLVO TOTTUSX 36 GR,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42677992_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 2,https://tottus.falabella.com.pe/tottus-pe/product/115855953/salsa-blanca-en-polvo-tottusx-36-gr/115855957?exp=tottus,Flexible
Despensa,Sin subcategoría,Display Chocolate Cookies and Creme Caja 36 Unidades x 43 g,HERSHEYS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43462339_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 151.20,https://tottus.falabella.com.pe/tottus-pe/product/139495994/hersheys-cnc-disp-x-36u-x-43g/139495995?exp=tottus,Rígido
Despensa,Pastas,Sémola 200 g,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42257709_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 0.60,https://tottus.falabella.com.pe/tottus-pe/product/113707653/semola-tottus-x-200-gr/113707656?exp=tottus,Flexible
Despensa,Arroz,Arroz Extra Costeño 750 g,COSTENO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10472603_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 4.90,https://tottus.falabella.com.pe/tottus-pe/product/113707117/arroz-extra-costeno-34-kg/113707119?exp=tottus,Flexible
Despensa,Cereales,Chocoriz Kids 380G,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42673664_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 13.90,https://tottus.falabella.com.pe/tottus-pe/product/117001738/chocoriz-tottus-kids-380g/117001739?exp=tottus,Flexible
Despensa,Sin subcategoría,Fideos Penne Rigate Premium de 500 g,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42326944_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 5.40,https://tottus.falabella.com.pe/tottus-pe/product/116239862/penne-rigate-tottus-x-500-gr/116239863?exp=tottus,Rígido
Despensa,Sin subcategoría,MANJARBLANCO X 500G,BONLE,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42946518_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 10.90,https://tottus.falabella.com.pe/tottus-pe/product/117017111/bonle-manjarblanco-x-500g/117017112?exp=tottus,Flexible
Despensa,Condimentos,Salsa Vinagreta Clásica Valle Fértil 370 g,VALLE FERTIL,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40532124_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 9.80,https://tottus.falabella.com.pe/tottus-pe/product/113712430/vinagreta-clasica-valle-fertil-370g/113712431?exp=tottus,Rígido
Despensa,Condimentos,Mostaza amarilla,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41709611_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 9.90,https://tottus.falabella.com.pe/tottus-pe/product/113930648/mostaza-amarilla-tottus-x-397g/113930649?exp=tottus,Rígido
Despensa,Panadería,Mini Pingüinos Marinela - 10 unidades,BIMBO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42435555_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 10.90,https://tottus.falabella.com.pe/tottus-pe/product/113707244/mini-pinguino-x-200g/113707245?exp=tottus,Flexible
