"brand","name","price","image","link","category","subcategory","packaging"
"HELLMANN'S","Hellmanns Mayonesa Ligera Doypack 475 g","S/ 14.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254706_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/128324223/hellmanns-mayonesa-ligera-doypack-475g/128324224?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","flexible packaging"
"SANTORINI","Entero De Anchoveta En Salsa De Tomate 200 g","S/ 2.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254708_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/128324229/entero-de-anchoveta-en-salsa-de-tomate-200g/128324230?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"PACASMAYO","Arroz Extra 5K","S/ 27.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43254711_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/128324231/arroz-extra-pacasmayo-5k/128324232?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"CAMPOMAR","Lomo De Atun En Aceite Vegetal Envase 150 g","S/ 6.30","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471801_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815371/lomo-d-atun-en-aceite-vegetal-camp-x150g/139815373?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"CAMPOMAR","Atún En Trozos En Aceite Pack 6 Latas 150 g","S/ 36.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471808_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815392/trozo-atun-aceite-6pack-150gr/139815393?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"CAMPOMAR","Atún En Trozos En Aceite Lara 150 g","S/ 6.10","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43471807_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/139815429/trozo-atun-aceite-campomar-150gr/139815430?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
"TOTTUS","Crema de Avellanas Bicolor 400 g","S/ 11.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40724028_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113929973/crema-de-avellanas-bicolor-tottus-x400g/113929974?exp=tottus","Alimentos y bebidas - Despensa","Postres y repostería","flexible packaging"
"GENERICO","Harina de Quinua Renacer 500 g","S/ 33.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10478274_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/114412810/harina-de-quinua-bls-x-500gr/114412811?exp=tottus","Alimentos y bebidas - Despensa","Harinas","flexible packaging"
"TOTTUS","Papa Seca 400 g","S/ 5.70","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40449203_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113706307/tottus-papa-seca-40449203/113706308?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"MUTTI","Concentrado De Tomate 210 g","S/ 13.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43273645_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/129087784/mutti-concentrado-de-tomate-210-g/129087786?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","rigid packaging"
