"category","subcategory","name","brand","imageUrl","isFlexiblePackaging"
"Despensa","Desconocido","PASTA SPAGUETTI X 950G","TOTTUS","",false
"Despensa","Desconocido","Fideo Spaghetti 500 g","GRANO DE ORO","",false
"Despensa","Desconocido","Fourpack Gelatina Sabor Naranja Yopi 480 g","LAIVE","",false
"Despensa","Desconocido","Mostaza amarilla","TOTTUS","",false
"Despensa","Desconocido","Aceite vegetal de 900 mL","TOTTUS","",false
"Despensa","Desconocido","Mayonesa 475 g","ALACENA","",false
"Despensa","Desconocido","Laurel Entero 7 g","TOTTUS","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40559396_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Choclo Dulce Desgranado Lata 425 g","OLIVOS DEL SUR","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43282797_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Sal de mar para cocina de 1 kg","MARINA","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41458531_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Helado Sabor Chocolate Con Stevia 50 g","UNIVERSAL","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41402033_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Aceite de Oliva Extra Virgen 2 L","TOTTUS","",false
"Despensa","Desconocido","Curry en Polvo 56.7 g","BADIA","",false
"Despensa","Desconocido","Ketchup 380 g","TOTTUS","",false
"Despensa","Desconocido","Lentejas bebé de 1 kg","TOTTUS","",false
"Despensa","Desconocido","Granola Bites Cinammon Roll Sumkha Envase x 100 g","","",false
"Despensa","Desconocido","CREMA DE AVELLANAS FERRERO X 220GR","NUTELLA","",false
"Despensa","Desconocido","Vinagreta Finas Hierbas 200 mL","EL OLIVAR","",false
"Despensa","Desconocido","Corazón Alcachofas En Salmuera Frasco x 410 g","OLIVOS DEL SUR","",false
"Despensa","Desconocido","Cobertura Bitter Negusa x 600 g","","",false
"Despensa","Desconocido","Fideo Tornillo 250 g - Bolsa 250 gr","PRECIO UNO","",false
"Despensa","Desconocido","MAIZENA PURA FECULA DE MAIZ CAJA X 100G","DURYEA","",false
"Despensa","Desconocido","Tallarines Shin Ramyun With Cheese 136 g","","",false
"Despensa","Desconocido","Lentejas con tocino 425 gr","TOTTUS","",false
"Despensa","Desconocido","Aceite Aerosol Sabor Mantequilla 170 g","OLEICO","",false
"Despensa","Desconocido","Conserva Jamón Endiablado 115 g","DUW","",false
"Despensa","Desconocido","Salsa De Soya Siyau Frasco x 350 mL","KIKKO","",false
"Despensa","Desconocido","Cubo de Sabor Gallina 8 unidades","MAGGI","",false
"Despensa","Desconocido","Conserva Jamon Endiablado 54 g","DUW","",false
